,HW_1b,HW_2b,HW_4b,HW_5b,HW_6b,HW_9b,HW_11b,HW_13b,HW_16b,HW_17b,HW_18b,HW_20b,HW_21b,HW_23b,HW_27b,HW_29b,HW_34b,HW_35b,HW_39b,HW_41b,HW_43b,HW_45b,HW_46b,HW_47b,HW_49b,HW_50b
15/03/2015,0,3297,6996,16515,2069,1521,488,3074,0,5063,0,0,8435,130,114,6959,696,243,393,11514,273,282,586,78,1285,269
16/03/2015,0,3213,7132,16867,1146,1225,470,3091,0,5002,0,0,7692,131,111,6866,675,246,385,11241,272,281,591,77,1347,270
17/03/2015,0,3176,7018,16356,1133,1334,488,3048,0,4825,0,0,7501,133,110,6889,758,237,390,11263,273,279,591,77,1397,270
18/03/2015,0,3135,7497,15387,956,1698,502,3013,0,4524,0,0,8452,132,115,6942,747,240,379,11181,276,277,589,78,1346,270
19/03/2015,0,2986,6998,15855,1280,1370,463,2979,0,4585,0,0,7760,129,111,6818,698,253,361,10861,275,276,580,78,1223,269
20/03/2015,15,2876,7009,15995,1605,608,439,3014,863,6634,2,2,4507,129,106,3431,638,198,353,7078,277,280,335,78,1129,268
21/03/2015,19,2775,6008,17212,1183,164,449,3180,1777,7648,6,1,0,126,107,2063,323,144,347,5188,275,294,145,77,1182,262
22/03/2015,11,2763,6173,17352,2569,1047,446,3130,0,4739,0,0,0,131,117,6716,938,162,381,9476,265,275,612,75,1498,267
23/03/2015,12,2735,6486,16188,2176,1325,491,3010,0,4683,0,0,0,133,119,6818,919,154,393,10302,265,274,592,75,1509,269
24/03/2015,11,2669,6470,15248,1748,1278,495,2864,1,4277,0,0,0,131,118,6858,811,141,359,10566,265,272,577,76,1265,269
25/03/2015,12,2588,6204,15704,2047,903,466,2920,0,4460,0,0,0,131,115,6754,817,143,353,10045,264,271,573,75,1240,267
26/03/2015,11,2507,6599,15286,1275,830,447,2905,0,4706,0,0,0,129,116,6660,852,135,345,9734,262,267,558,74,1216,266
27/03/2015,12,2428,5870,15527,915,890,433,2913,0,4510,0,0,0,130,116,6648,902,145,350,9273,261,267,567,74,1279,264
28/03/2015,11,2347,5880,15424,1127,1058,422,2914,0,4447,0,0,0,128,116,6677,1018,154,352,8295,259,265,587,73,1293,264
29/03/2015,11,2286,5862,16381,1616,1097,421,2891,0,264,0,0,0,129,116,6789,1049,134,355,8191,258,284,603,72,1309,263
30/03/2015,12,2221,5657,16240,1802,1080,417,2903,0,0,0,0,0,128,115,6788,1042,157,363,7379,257,284,603,72,1318,263
31/03/2015,11,2155,5867,15873,2001,1067,418,2860,0,0,0,0,0,129,115,6741,1019,152,368,7135,254,279,608,71,1383,263
1/04/2015,12,2120,6027,15293,2088,1314,451,2841,0,0,0,0,0,131,117,6818,1035,161,367,7630,255,279,618,72,1500,264
2/04/2015,11,2103,4449,14662,1990,1517,465,2737,0,0,0,0,0,131,116,6846,903,147,358,8387,256,275,617,72,1368,265
3/04/2015,12,2028,5419,14176,2307,1006,438,2745,0,0,0,0,0,129,117,6855,941,140,344,7608,254,274,617,72,1314,263
4/04/2015,11,1982,5762,14358,1761,983,460,2755,0,0,0,0,0,132,117,6831,985,158,375,7781,254,277,617,72,1494,264
5/04/2015,12,1979,6033,13717,554,1463,504,2682,0,0,0,0,0,136,120,6960,811,144,381,9312,258,279,608,73,1559,265
6/04/2015,11,1902,6243,12677,411,1540,505,2684,0,0,0,0,0,132,120,6990,628,150,360,10284,261,278,583,74,1711,265
7/04/2015,10,1812,6682,12649,430,1244,493,2833,0,0,0,0,0,132,118,6935,612,144,351,10588,261,272,588,75,1594,263
8/04/2015,12,1701,7284,38234,16537,3786,422,2888,0,0,0,0,0,125,116,6799,1007,156,319,9199,261,257,570,74,1160,261
9/04/2015,11,1608,6516,21686,12311,2708,396,3166,0,0,0,0,0,127,114,6663,1019,136,340,7778,257,258,590,72,1448,258
10/04/2015,12,1560,7304,12962,8932,1588,421,3203,0,0,0,0,0,128,115,6767,1404,143,355,7402,254,254,605,72,1562,259
11/04/2015,12,1517,7459,12064,7005,1664,481,3108,0,0,0,0,0,132,117,6845,900,158,366,7776,251,271,620,71,1730,259
12/04/2015,12,1465,7518,13132,6862,1448,513,3032,0,0,0,0,0,131,119,7028,592,174,358,7834,251,278,618,70,1571,259
13/04/2015,11,1403,7204,14028,6481,1252,513,3008,0,0,0,0,0,131,118,7002,417,182,351,7340,250,275,604,70,1539,257
14/04/2015,12,1339,7664,13243,5740,1163,512,2995,0,0,0,0,0,131,118,7012,372,162,356,7081,249,275,611,70,1531,256
15/04/2015,12,1281,6963,14897,5593,1165,505,2973,0,0,0,0,0,131,119,7051,389,164,358,6771,249,273,611,68,1593,256
16/04/2015,13,1233,6595,14623,5023,1086,506,2967,0,0,0,0,0,131,119,7033,362,171,360,6857,248,270,618,70,1529,255
17/04/2015,12,1182,6820,14830,4479,1232,508,2907,0,0,0,0,0,133,117,7056,273,160,364,6978,249,269,621,70,1720,254
18/04/2015,12,1164,8855,42261,38332,2221,529,2841,0,0,0,0,0,134,121,7171,577,185,385,7752,249,277,621,70,1771,256
19/04/2015,12,1099,8773,98039,140788,12507,509,4348,0,0,0,0,1,130,120,7310,3309,174,333,6999,316,269,639,88,1494,271
20/04/2015,13,1081,8887,56502,112496,8675,522,5316,0,0,0,0,0,133,124,7535,2814,145,360,7052,302,265,655,84,1599,269
21/04/2015,12,1124,9929,28663,89383,7535,561,5442,0,0,0,0,0,137,129,8117,2351,167,363,9419,283,265,676,81,1866,269
22/04/2015,12,1162,9702,20213,69997,6991,586,5205,0,1398,0,0,0,137,134,8422,1738,158,384,10903,292,282,687,78,1826,271
23/04/2015,12,1160,7241,16579,54989,6595,597,5348,0,3824,0,0,0,137,135,8527,1609,164,384,11892,280,268,698,80,1822,271
24/04/2015,12,1156,6399,14176,34374,6270,606,5322,0,3480,0,0,0,137,137,8506,1416,177,393,12845,280,273,702,78,1722,272
25/04/2015,11,1107,5835,24281,19470,5854,597,5186,0,3302,0,0,0,134,134,8343,1268,172,487,12767,280,271,669,80,1559,271
26/04/2015,12,1043,5887,62073,49584,22190,583,5952,1,3739,0,0,0,132,132,8206,1520,151,522,12116,277,264,677,76,1346,267
27/04/2015,12,962,5950,37529,59250,30847,572,6481,0,4015,0,0,0,131,130,8120,1606,153,726,11000,275,254,695,78,1383,267
28/04/2015,12,900,7120,26785,59962,28570,565,6077,0,4133,0,0,0,131,130,8193,2094,165,886,10113,271,251,720,77,1427,265
29/04/2015,12,848,8778,27390,55765,25390,561,5717,0,3835,0,0,0,132,127,8110,2198,153,1073,9405,268,250,738,76,1508,263
30/04/2015,13,801,8465,24748,35425,23242,570,5504,0,3743,0,0,0,133,126,8018,1581,159,1055,9277,264,270,760,75,1604,262
1/05/2015,13,765,8660,23122,15888,20604,586,5441,0,3744,0,0,0,137,127,8051,1536,158,983,9300,263,276,775,75,1762,265
2/05/2015,12,750,8671,24622,11388,12612,603,5213,0,3745,0,0,0,137,130,8162,1469,159,760,9862,263,280,791,76,1813,267
3/05/2015,12,724,8464,23495,8247,4835,607,5043,0,3771,0,0,0,136,129,8155,1346,189,653,9823,266,284,802,76,1672,268
4/05/2015,13,706,8257,20624,7060,4456,609,4624,0,3859,0,0,0,137,126,7943,1206,167,615,10033,268,285,794,75,1737,269
5/05/2015,11,706,8320,21601,4398,4938,617,4901,0,4171,0,0,0,137,129,8046,1063,153,480,10656,271,288,799,77,1761,271
6/05/2015,12,658,8492,15831,4076,6806,590,4625,0,4062,0,0,0,133,124,7645,1016,155,464,9747,274,282,771,77,1392,268
7/05/2015,11,641,10124,14903,4624,7976,580,4415,0,3894,0,0,0,133,121,7539,955,164,622,9811,272,280,744,77,1529,268
8/05/2015,12,619,9914,14693,4863,7899,577,4303,0,3812,0,0,0,134,119,7409,999,160,700,9781,270,279,742,77,1637,268
9/05/2015,12,615,10181,15802,4250,6908,582,4222,0,3957,0,0,1,136,122,7357,931,160,615,10197,273,279,741,76,1727,269
10/05/2015,12,637,9759,16217,3202,1359,597,4274,0,4112,0,0,0,138,122,7563,1029,150,466,11111,277,283,735,78,1808,272
11/05/2015,11,611,9388,15648,6307,1327,580,4122,0,4108,0,0,0,134,121,7457,1101,164,393,10635,277,276,736,79,1352,269
12/05/2015,12,633,10974,22093,11087,3224,578,3997,0,4084,0,0,0,135,121,7478,1071,161,555,11023,277,274,738,78,1712,269
13/05/2015,12,603,10912,19508,11305,5151,557,3854,0,4008,0,0,0,130,124,7592,1087,150,528,10170,274,266,733,75,1225,265
14/05/2015,12,557,9757,16935,11684,6954,532,3839,0,3858,0,0,0,129,121,7587,1323,166,844,8796,268,260,744,76,1340,263
15/05/2015,13,531,9704,15465,11252,4742,521,3849,0,3833,0,0,0,131,121,7541,1156,185,788,8253,262,259,766,74,1415,261
16/05/2015,13,511,10668,16727,9777,957,520,3822,0,3888,0,0,0,132,119,7508,874,177,663,8231,260,250,773,73,1557,258
17/05/2015,15,476,7010,15516,8890,22,537,3711,4,2732,10,1,24,141,120,4820,715,169,582,7968,276,174,562,72,1669,251
18/05/2015,14,322,1545,15714,4613,2,596,3573,2,560,47,1,4,171,103,876,90,167,558,8669,261,70,75,72,1869,141
19/05/2015,13,523,36031,24287,37548,1058,598,3584,0,3913,104,0,7,146,124,7828,886,159,519,9749,260,250,791,73,2034,262
20/05/2015,13,1011,19680,98603,148240,15518,598,5211,0,6308,152,0,5,153,128,8123,1106,159,430,34838,354,241,927,97,1950,307
21/05/2015,15,3680,3740,131393,116772,12131,601,6571,0,7029,139,0,3,147,129,8385,1188,165,444,82371,378,295,980,104,1885,312
22/05/2015,89,3928,4378,113441,88656,8902,593,9774,0,7356,117,0,1,148,130,8392,1269,187,457,79181,335,356,969,91,1563,302
23/05/2015,26,3233,5749,90017,68502,6184,583,10146,0,6684,122,0,4,152,128,8229,1167,163,511,66812,317,348,976,88,1695,289
24/05/2015,15,2811,7541,81633,39478,5938,581,9697,0,6408,116,0,3,144,125,8053,1097,181,530,54789,305,353,975,84,1748,285
25/05/2015,14,2655,9061,76262,23450,5774,586,9338,0,6535,100,0,6,150,123,8009,985,165,555,49070,299,343,973,83,1885,283
26/05/2015,13,2508,9816,63971,19568,5106,597,9138,0,6612,112,0,4,146,125,7920,1184,151,550,42900,293,350,960,82,1978,283
27/05/2015,13,2484,10553,53945,15925,5206,605,9094,0,7262,119,0,5,153,125,8150,928,154,527,41195,293,355,955,81,1916,284
28/05/2015,13,2430,11969,43993,13438,5110,610,8973,0,6359,115,0,2,155,126,8085,975,157,521,40265,291,345,941,81,1956,285
29/05/2015,14,2326,13777,43606,14386,4865,604,8874,0,6342,119,0,4,149,125,8111,900,176,499,39405,287,346,935,80,1682,284
30/05/2015,13,2164,13939,48565,20436,5364,605,9014,0,6486,113,0,6,150,128,8412,897,149,542,37154,287,344,927,80,1923,283
31/05/2015,13,2177,11230,45215,18609,5897,617,9615,0,5871,113,0,4,158,135,8903,690,151,508,37874,288,361,915,81,2024,285
1/06/2015,13,2144,9579,36757,22841,8260,602,9775,0,5666,106,0,3,151,136,8966,753,151,444,38435,287,364,914,80,1567,283
2/06/2015,13,2139,9188,32928,33836,9832,589,9183,0,4914,117,0,7,149,134,8928,893,157,562,34795,284,360,904,79,1782,279
3/06/2015,13,2141,9098,32675,43009,9641,593,9030,0,4004,123,0,6,149,136,8951,878,156,592,35610,283,356,909,78,1892,279
4/06/2015,13,2253,9251,31683,41599,7785,601,8979,0,3025,113,0,3,154,135,9030,727,155,616,39502,283,346,907,79,1997,281
5/06/2015,14,2302,9096,31233,38089,7731,591,8759,0,2702,116,0,2,147,134,8844,727,161,620,41157,283,331,907,77,1575,280
6/06/2015,14,2206,12391,31065,29626,11488,576,8244,0,2779,116,0,12,147,127,8499,976,154,803,36453,278,324,905,77,1699,277
7/06/2015,14,2168,13439,30871,14613,12434,582,7805,0,2344,111,0,4,153,126,8295,916,160,843,35359,276,313,906,77,1999,278
8/06/2015,14,2170,14036,30170,11577,10875,596,7640,0,2470,112,0,5,150,127,8340,854,164,744,35622,280,310,910,78,2062,280
9/06/2015,14,2160,13509,30259,10150,9244,593,7086,0,2479,114,0,7,149,126,8266,826,154,625,35617,279,321,906,78,1668,281
10/06/2015,14,2060,13492,30047,9971,13737,565,6986,0,2787,109,0,10,149,120,7879,1056,164,776,31942,275,317,888,75,1539,276
11/06/2015,15,2028,13329,31521,9835,15992,551,6772,0,3098,115,0,22,138,117,7705,1274,156,994,29118,271,309,880,76,1802,273
12/06/2015,15,2004,14301,29630,9275,17862,562,6352,0,3063,125,0,13,153,118,7635,1183,155,1112,28562,271,306,888,75,1998,272
13/06/2015,14,1988,14724,28759,9573,19208,575,6072,0,3076,111,0,8,150,118,7747,1116,138,1012,28528,271,308,898,74,2020,271
14/06/2015,15,1972,15538,30751,8767,19609,582,5879,0,2970,115,0,13,150,117,7659,1046,142,897,28279,271,296,901,76,1930,272
15/06/2015,15,1955,16235,30354,7970,20480,587,5757,0,2800,107,0,11,149,117,7518,1013,148,855,28313,272,295,898,76,1961,271
16/06/2015,14,1956,16738,30103,4759,11918,601,5820,0,2396,111,0,6,154,119,7613,864,153,720,29819,276,292,898,77,2110,276
17/06/2015,14,1956,14655,48586,11033,10400,613,5962,0,2993,125,0,2,150,119,7789,813,161,502,31884,280,309,896,78,2002,280
18/06/2015,16,2545,8860,114503,104308,105470,603,10608,0,3788,147,0,3,145,121,7792,1126,162,457,54291,358,314,967,96,1939,307
19/06/2015,38,4591,14886,130406,118385,91415,605,11264,0,4489,136,0,6,149,124,8001,1061,167,656,105144,386,401,1009,106,1994,314
20/06/2015,151,5114,16727,109492,105330,93669,596,11127,0,5575,139,0,1,144,127,8234,1164,162,779,116679,349,451,1014,95,1857,303
21/06/2015,142,4360,18100,88123,94588,58640,591,10796,0,6894,132,0,7,154,128,8484,1536,169,814,113321,306,452,1014,89,1841,296
22/06/2015,120,3930,18157,78002,80188,8380,595,10257,0,7345,126,0,4,146,128,8536,1511,176,831,106412,245,440,1005,88,2003,291
23/06/2015,133,3708,19691,69811,61343,5757,601,10617,0,6953,129,0,4,148,128,8481,1369,174,796,103200,251,426,993,87,1983,291
24/06/2015,102,3538,20144,59568,36386,5531,605,10593,0,6542,127,0,5,143,128,8423,1334,155,745,100953,226,409,978,85,1928,289
25/06/2015,165,3497,16504,51128,27047,4037,590,10005,0,6530,139,0,3,145,126,8190,1377,162,748,96971,227,389,961,84,1663,285
26/06/2015,116,3191,17087,44752,23030,17150,576,9376,0,5483,121,0,6,150,121,8037,1495,168,901,89348,226,373,931,78,1761,280
27/06/2015,36,2756,17503,43033,20945,16853,574,9051,0,4384,111,0,15,144,122,7940,1526,160,960,83097,223,364,926,78,1942,279
28/06/2015,25,2537,18769,43780,20164,18231,572,8993,0,4067,110,0,10,141,120,7884,1725,160,925,78203,225,356,925,79,1869,277
29/06/2015,18,2376,18624,44112,19399,17456,571,8914,0,5042,112,0,14,145,118,7845,1756,155,949,76090,219,354,925,77,1969,276
30/06/2015,15,2278,16865,44565,16605,3166,581,9205,0,4832,116,0,5,151,121,7814,1262,133,880,72673,233,360,927,78,2024,277
1/07/2015,15,2149,16879,41301,15802,1692,584,9317,0,4493,105,0,7,147,120,7771,1117,135,813,70410,227,366,925,77,1985,277
2/07/2015,15,2072,17071,39297,13613,1535,590,9509,0,3584,125,0,7,148,120,7811,1069,147,726,69572,223,374,919,77,1829,277
3/07/2015,15,1979,16314,37134,13495,1675,581,9183,0,3386,118,0,6,146,118,7633,1090,152,772,65904,216,375,902,77,1848,275
4/07/2015,14,2017,15743,36270,11553,828,587,9263,0,3125,106,0,5,153,119,7670,1044,134,826,64460,222,377,910,77,1902,275
5/07/2015,15,1949,14922,37087,9156,825,590,9209,0,2989,109,0,10,148,118,7643,1088,133,875,63141,222,370,913,75,1930,275
6/07/2015,15,1856,14077,37207,6219,964,593,9252,0,2739,108,0,10,150,120,7614,901,144,747,61568,202,367,914,78,1852,276
7/07/2015,15,1869,14066,33948,6910,2324,576,8529,0,2509,104,0,17,138,116,7502,1103,150,814,58451,221,363,893,76,1577,275
8/07/2015,15,1704,11548,32591,8777,8372,557,8363,0,2692,96,0,10,141,115,7246,1062,168,961,50746,221,358,873,75,1666,272
9/07/2015,15,1523,12848,36820,8291,8540,556,8043,0,2875,100,0,7,144,114,7180,694,148,881,46907,214,348,866,74,1924,269
10/07/2015,15,1517,14867,34957,5640,1732,576,8129,0,2894,90,0,4,149,115,7345,651,164,826,47800,221,344,874,77,2026,272
11/07/2015,15,1501,15408,38747,5953,906,595,8523,0,2767,90,0,13,151,119,7404,613,145,652,49257,206,354,886,79,2208,275
12/07/2015,14,2046,14552,109211,124494,24365,607,13077,0,4641,120,0,5,155,122,7748,2247,158,431,68546,255,367,978,92,2024,301
13/07/2015,148,10495,51743,150163,115888,64916,607,14819,0,10270,149,0,6,148,130,8348,1579,167,419,166982,325,510,1030,113,1911,346
14/07/2015,1178,23480,177955,178799,170401,106067,608,15067,0,29727,144,0,15,162,141,9320,1460,175,736,249429,350,664,1035,118,2116,371
15/07/2015,1137,21400,58206,157267,144309,110132,605,13559,0,25395,103,0,1,148,156,10601,1179,152,898,233163,324,638,974,111,2111,344
16/07/2015,917,16310,14025,154967,125474,85164,606,13041,0,26123,95,0,3,144,170,11859,1092,144,1113,209677,299,611,966,103,2202,321
17/07/2015,478,13023,6307,161316,108068,92039,598,12751,0,27873,100,0,9,143,173,12268,1285,142,846,174609,264,595,963,94,1764,306
18/07/2015,465,10753,18657,157482,88301,25016,566,12215,0,28562,96,0,1,142,169,11923,1425,146,781,150039,251,549,971,90,1508,291
19/07/2015,407,9873,23737,149620,76171,32669,544,11882,0,29016,104,0,4,148,164,11552,1413,155,928,133939,244,486,988,88,1825,284
20/07/2015,184,9097,25080,138447,70554,32304,536,11164,0,30320,106,0,3,147,159,11137,1093,158,979,125449,256,457,991,86,1939,283
21/07/2015,50,8890,24872,137961,65498,29864,547,10568,0,31193,108,0,3,149,157,11097,989,167,975,124169,286,294,987,86,2105,284
22/07/2015,18,8502,25663,143079,74800,24151,562,11414,0,31865,108,0,5,145,156,10985,1481,151,962,122368,321,0,992,86,1974,286
23/07/2015,344,13241,29762,166479,139543,207111,570,14991,0,46758,130,0,5,151,161,11430,1990,145,958,175620,414,0,1067,109,2328,329
24/07/2015,1025,18001,26896,178430,138736,188634,600,14149,0,49322,116,0,1,153,170,12380,1459,158,934,221560,439,0,1053,115,2465,336
25/07/2015,1267,21035,221153,178364,177260,197025,600,15101,0,71298,141,0,9,166,177,12891,1782,153,964,260581,454,0,1148,119,2315,360
26/07/2015,1531,23880,207550,169739,169488,199305,607,14924,0,101070,147,0,6,159,189,13975,1196,202,1001,304580,457,0,1100,119,2273,360
27/07/2015,645,21594,119770,166166,165458,196297,585,14691,0,94305,148,0,9,147,192,14274,1349,189,1207,279108,440,0,1078,114,2266,346
28/07/2015,904,19068,53403,166252,144045,184316,572,13240,0,79164,126,0,4,149,190,14301,1078,184,1562,245609,415,0,1038,106,2303,322
29/07/2015,807,15374,19891,165924,127373,112579,570,12944,0,67975,113,0,8,144,187,14095,954,181,1708,214757,364,0,1028,94,2393,305
30/07/2015,486,13044,20125,168803,116163,32308,586,13094,0,63689,118,0,2,149,185,13843,825,173,1364,190988,334,0,1026,90,2373,306
31/07/2015,380,11693,7920,167211,103992,11403,586,12610,0,57734,127,0,2,146,182,13335,1307,149,1246,171474,342,0,1012,91,1974,299
1/08/2015,235,8564,2165,161966,89978,9836,589,12647,0,56524,134,0,5,146,173,12694,1439,158,1228,162206,335,0,993,87,2074,293
2/08/2015,807,12847,178511,176017,157750,132532,590,14752,0,85278,156,0,11,153,173,12572,2047,158,1188,220058,401,0,1041,103,2361,349
3/08/2015,1559,19936,179584,169095,167445,189985,592,14452,0,109117,149,0,13,151,191,13974,3000,177,1351,308988,449,0,1012,116,2273,357
4/08/2015,924,16109,32922,166107,144462,184328,589,12705,0,97712,141,0,2,153,197,14423,2578,156,1536,247825,419,0,964,110,2341,326
5/08/2015,1039,13618,13000,165262,135275,167103,603,12896,0,85621,136,0,16395,116,192,13981,2294,149,1316,221566,411,249,953,103,2288,313
6/08/2015,546,11232,3561,159061,123244,172733,576,12583,0,69761,122,0,15062,37,178,12932,2165,149,1408,199455,346,584,949,90,1698,299
7/08/2015,416,9535,2024,153571,111597,48681,557,12475,0,64270,115,0,50092,44,167,11924,2804,148,1923,171379,340,543,968,88,1881,291
8/08/2015,647,9225,1739,152744,102565,38587,552,12329,0,65590,112,0,48471,44,160,11208,3774,160,2009,166079,336,545,976,88,1996,290
9/08/2015,183,8926,9240,154385,89678,37344,560,12058,0,63472,115,0,37958,38,158,10704,3923,151,1876,163639,331,536,980,86,2109,290
10/08/2015,175,8587,14080,154601,82709,15008,573,12033,0,59771,117,0,39999,41,155,10364,2860,146,1497,161995,329,543,940,84,2011,290
11/08/2015,323,7980,16939,154201,76113,7854,570,11799,0,53304,115,0,36019,41,150,10056,3569,155,1307,156490,327,519,926,84,1909,289
12/08/2015,371,7877,13368,156410,71343,8727,577,12104,0,45132,117,0,38650,39,151,9687,3254,161,1114,152459,330,509,931,86,1830,290
13/08/2015,299,7464,4035,137645,66195,16956,526,11448,0,36475,95,0,21077,39,140,9269,3223,170,1527,135786,320,486,909,84,1497,280
14/08/2015,90,6529,3204,97999,62112,27463,494,10982,0,29949,97,0,3107,38,139,9166,3993,183,2627,111825,307,403,908,80,1716,278
15/08/2015,174,5945,12386,94721,51188,25182,485,10146,0,26633,92,0,284,38,140,9185,5337,168,3065,97286,300,383,923,78,1832,277
16/08/2015,171,5554,15402,90399,41386,10907,517,9936,0,24110,96,0,6727,39,142,9206,5599,167,2668,94800,301,394,931,79,2140,279
17/08/2015,188,5578,16051,88324,37677,1478,550,9965,0,21881,103,0,12036,42,143,9236,5347,169,1703,102925,304,424,933,84,2024,280
18/08/2015,130,5359,16099,80933,35290,4544,532,9751,0,21004,84,0,6182,39,144,9145,6255,188,1882,96725,295,408,901,81,1643,276
19/08/2015,65,5318,18248,75027,26799,9183,512,9155,0,18563,101,0,1025,37,134,8834,6697,155,2585,79740,283,392,870,78,1717,273
20/08/2015,16,5191,20359,74545,26141,6386,507,8959,0,15827,92,0,505,37,143,8862,7326,147,2801,66472,279,184,869,76,1797,270
21/08/2015,14,5163,18849,74253,24422,476,526,8753,0,14936,86,0,368,38,138,8752,6867,146,2586,61969,277,0,868,76,2003,270
22/08/2015,14,4840,19263,70561,22148,33,541,8821,0,14442,98,0,595,40,139,8911,5665,148,1930,64399,278,0,864,76,1898,273
23/08/2015,13,4707,19805,65022,20881,29,541,8665,0,14175,83,0,589,35,141,8828,4941,157,1867,60431,278,0,865,74,1862,273
24/08/2015,14,4836,54581,83807,66845,12333,549,8929,0,16660,100,0,9458,45,140,8862,4766,162,1748,63624,283,0,1020,77,1974,286
25/08/2015,3637,35086,321857,148526,216189,223392,671,14434,0,136981,164,0,66120,78,166,11518,5253,562,1803,334471,523,71,1708,133,2892,471
26/08/2015,2014,28103,182634,137143,173600,213820,724,13056,0,138126,128,0,49304,53,204,14379,2829,687,2616,336884,465,15,1109,117,2837,362
27/08/2015,1106,22129,31061,134361,150049,205695,728,12182,0,115642,116,0,49865,53,202,14084,1463,407,2160,285014,408,4,1011,105,2624,323
28/08/2015,971,18271,18865,136563,142972,213267,700,12806,0,94661,126,0,51357,44,198,13532,1551,345,2159,231715,373,2,992,100,2277,312
29/08/2015,564,17005,6829,135859,144195,157377,678,11839,0,84814,125,0,24382,49,190,13045,1802,321,2440,222747,370,0,990,98,2369,310
30/08/2015,766,15199,8214,135182,131297,60497,655,11556,0,72323,124,0,26374,42,183,12681,1662,290,2302,214223,349,1,980,91,2084,303
31/08/2015,578,13022,3304,134344,121491,50493,639,11206,0,66951,101,0,7505,42,182,12244,1574,309,2065,189597,338,0,973,88,2116,302
1/09/2015,370,11597,1414,133939,108106,29226,624,11171,0,62880,95,0,1942,38,175,11581,1278,329,1852,171499,333,1,931,88,1945,299
2/09/2015,450,10878,1550,128927,92055,27,615,11072,0,54922,89,0,853,43,165,10934,1355,339,1728,162622,329,2,923,87,2054,298
3/09/2015,223,10182,6096,128108,83314,19,607,11062,0,50003,96,0,654,34,157,10643,1602,318,1156,156414,327,0,919,90,1746,298
4/09/2015,240,8883,5157,110245,78072,2692,568,10660,0,38893,99,0,23384,36,149,9526,2024,294,2118,125853,319,3,920,84,1767,283
5/09/2015,81,7787,8597,102019,75383,5561,560,10682,0,34299,92,0,50212,37,148,9290,2550,286,2202,107147,318,0,936,86,1976,283
6/09/2015,102,7762,11555,95047,72050,5588,561,10587,0,31072,94,0,50617,36,144,9329,2682,306,2211,104829,313,2,929,85,2083,285
7/09/2015,59,7460,9237,94852,68852,5845,572,10568,0,38555,81,0,52014,37,143,9212,2892,284,1724,108020,308,2,925,83,1970,286
8/09/2015,149,7295,6981,92295,64778,5030,569,10401,0,37314,68,0,47130,39,137,9028,2575,289,1625,98231,301,2,916,81,1869,284
9/09/2015,60,7452,10050,83716,61720,4387,547,10088,0,34405,72,0,42143,38,144,8909,2227,296,2050,72595,296,3,910,79,1704,282
10/09/2015,17,7173,20348,77299,43860,3802,526,9804,0,27958,76,0,38563,38,138,8657,2538,290,2886,52611,295,0,920,81,1712,279
11/09/2015,14,6962,21852,76542,38134,3991,532,9519,0,25303,67,0,39447,37,141,8634,1608,313,3090,46833,294,1,914,78,1937,277
12/09/2015,13,7032,21990,72316,32229,4132,540,9378,0,20848,70,0,40305,38,136,8572,1898,307,2879,48354,294,2,901,78,1950,279
13/09/2015,12,6983,21706,67698,29371,3465,543,9328,0,19682,66,0,35891,38,139,8660,2043,285,2709,45855,294,2,891,80,1946,278
14/09/2015,12,6866,22427,65697,26725,3439,560,9499,0,19849,64,0,35485,36,143,8684,2145,280,2352,44961,294,2,885,81,2159,280
15/09/2015,12,6861,22506,65464,24611,4376,578,9751,0,18611,69,0,41347,34,141,8852,2576,278,1571,50954,299,2,892,80,1981,284
16/09/2015,12,6577,22787,59460,23342,3802,571,7763,0,18323,71,0,37286,39,140,8714,3250,290,1516,49269,299,1,897,82,1833,281
17/09/2015,12,6337,22262,53145,22960,3176,554,9181,0,18388,67,0,33234,35,138,8563,4358,307,1578,40441,297,4,887,80,1631,279
18/09/2015,12,6302,21077,55559,22449,2863,525,8498,0,17363,66,0,29017,37,135,8346,4442,328,2188,35751,295,5,879,81,1663,278
19/09/2015,12,6147,22128,57053,21376,2964,531,8023,0,16796,68,0,29957,37,132,8321,4414,297,2247,32534,294,2,879,78,1896,278
20/09/2015,12,6135,22292,55268,20422,3094,541,7679,0,16620,72,0,30789,39,131,8384,3731,309,2020,30636,296,0,877,81,1906,278
21/09/2015,12,6179,22580,57614,19266,3419,555,7588,0,15957,70,0,33544,35,137,8423,3635,268,1773,29894,295,5,881,80,1956,279
22/09/2015,12,5994,21890,54022,18431,3449,540,7467,0,15013,63,0,28861,39,135,8431,3985,324,1527,28763,295,3,887,81,1541,277
23/09/2015,13,5655,19440,49248,18732,9624,510,6906,0,14854,72,0,19423,37,132,8218,4212,342,2309,25837,291,1,880,80,1700,273
24/09/2015,12,5368,19176,49202,18407,10318,512,6599,0,14088,70,0,21860,39,131,8116,4699,324,2400,22775,295,9,875,80,1831,272
25/09/2015,12,5150,18290,47792,18484,11542,502,6271,0,13487,63,0,18566,36,129,8028,4561,317,2501,19910,289,0,864,78,1778,272
26/09/2015,13,5036,16762,36931,17752,11001,513,6059,0,13394,59,0,18734,41,129,8040,4381,321,2446,19269,288,0,862,79,1945,272
27/09/2015,12,5030,18006,,15913,4387,531,6061,0,12756,63,0,24088,38,132,8094,4312,280,2110,19991,291,0,866,80,1996,274
